event_id_MM252,start_time,end_time,duration_seconds,max_concentration,mean_concentration,num_measurements,date,sensor,event_id_MM261,event_id_MM262,event_id_MM263,event_id_MM264,event_id_MM256,event_id_MM211,event_id_CM861
53.0,2014-03-19 08:44:54,2014-03-19 08:45:31,37.0,2.2,2.031578947368421,38,2014-03-19,MM252,,,,,,,
54.0,2014-03-21 12:52:37,2014-03-21 12:52:48,11.0,0.7,0.7,10,2014-03-21,MM252,,,,,,,
55.0,2014-03-21 15:33:34,2014-03-21 15:34:27,53.0,0.8,0.7374999999999999,48,2014-03-21,MM252,,,,,,,
56.0,2014-03-22 15:04:24,2014-03-22 15:04:25,1.0,0.7,0.7,2,2014-03-22,MM252,,,,,,,
57.0,2014-03-22 15:07:48,2014-03-22 15:08:01,13.0,0.9,0.7999999999999999,14,2014-03-22,MM252,,,,,,,
58.0,2014-03-22 15:22:18,2014-03-22 15:25:07,169.0,0.9,0.8035714285714286,112,2014-03-22,MM252,,,,,,,
59.0,2014-03-22 15:42:58,2014-03-22 15:43:01,3.0,0.7,0.7,4,2014-03-22,MM252,,,,,,,
60.0,2014-03-22 15:49:16,2014-03-22 15:50:27,71.0,0.7,0.7,4,2014-03-22,MM252,,,,,,,
61.0,2014-03-27 11:18:28,2014-03-27 11:20:11,103.0,2.2,2.0404761904761903,84,2014-03-27,MM252,,,,,,,
62.0,2014-03-30 11:36:10,2014-03-30 11:49:03,773.0,1.1,0.7993670886075949,316,2014-03-30,MM252,,,,,,,
63.0,2014-03-30 16:14:34,2014-03-30 16:14:37,3.0,0.7,0.7,4,2014-03-30,MM252,,,,,,,
64.0,2014-03-30 16:21:02,2014-03-30 16:21:05,3.0,0.7,0.7,4,2014-03-30,MM252,,,,,,,
65.0,2014-03-30 16:30:08,2014-03-30 16:30:09,1.0,0.7,0.7,2,2014-03-30,MM252,,,,,,,
66.0,2014-03-30 16:33:52,2014-03-30 16:34:55,63.0,0.7,0.7,8,2014-03-30,MM252,,,,,,,
67.0,2014-03-30 16:40:06,2014-03-30 16:43:41,215.0,0.9,0.7605263157894736,76,2014-03-30,MM252,,,,,,,
68.0,2014-03-31 12:06:09,2014-03-31 12:06:22,13.0,0.8,0.7571428571428571,14,2014-03-31,MM252,,,,,,,
69.0,2014-03-31 12:43:24,2014-03-31 12:43:27,3.0,0.7,0.7,4,2014-03-31,MM252,,,,,,,
70.0,2014-04-02 10:40:50,2014-04-02 10:42:35,105.0,30.0,6.626530612244898,98,2014-04-02,MM252,,,,,,,
71.0,2014-04-03 13:26:53,2014-04-03 13:27:48,55.0,0.8,0.7294117647058824,34,2014-04-03,MM252,,,,,,,
72.0,2014-04-03 16:04:21,2014-04-03 16:04:38,17.0,0.7,0.7,14,2014-04-03,MM252,,,,,,,
73.0,2014-04-07 16:26:05,2014-04-07 16:28:02,117.0,0.8,0.72,30,2014-04-07,MM252,,,,,,,
74.0,2014-04-07 16:30:53,2014-04-07 16:31:04,11.0,0.7,0.6999999999999998,12,2014-04-07,MM252,,,,,,,
75.0,2014-04-07 17:04:35,2014-04-07 17:05:42,67.0,0.8,0.7230769230769231,26,2014-04-07,MM252,,,,,,,
76.0,2014-04-08 09:48:19,2014-04-08 09:48:24,5.0,0.7,0.7,4,2014-04-08,MM252,,,,,,,
77.0,2014-04-08 10:37:01,2014-04-08 10:37:04,3.0,0.7,0.7,4,2014-04-08,MM252,,,,,,,
78.0,2014-04-08 10:43:45,2014-04-08 10:43:48,3.0,0.7,0.7,4,2014-04-08,MM252,,,,,,,
79.0,2014-04-08 12:00:49,2014-04-08 12:01:04,15.0,0.7,0.7,16,2014-04-08,MM252,,,,,,,
80.0,2014-04-08 12:17:55,2014-04-08 12:18:02,7.0,0.7,0.7,8,2014-04-08,MM252,,,,,,,
81.0,2014-04-08 13:29:30,2014-04-08 13:29:49,19.0,0.7,0.7,20,2014-04-08,MM252,,,,,,,
82.0,2014-04-08 13:32:30,2014-04-08 13:36:33,243.0,1.0,0.7666666666666666,138,2014-04-08,MM252,,,,,,,
83.0,2014-04-08 13:38:40,2014-04-08 13:38:45,5.0,0.7,0.6999999999999998,6,2014-04-08,MM252,,,,,,,
84.0,2014-04-08 13:41:34,2014-04-08 13:47:29,355.0,0.9,0.7428571428571429,70,2014-04-08,MM252,,,,,,,
85.0,2014-04-08 13:52:00,2014-04-08 13:52:05,5.0,0.7,0.6999999999999998,6,2014-04-08,MM252,,,,,,,
86.0,2014-04-08 14:08:52,2014-04-08 14:09:55,63.0,0.8,0.7444444444444445,36,2014-04-08,MM252,,,,,,,
87.0,2014-04-08 14:19:18,2014-04-08 14:21:03,105.0,1.2,0.8382978723404255,94,2014-04-08,MM252,,,,,,,
88.0,2014-04-08 14:40:54,2014-04-08 14:41:55,61.0,0.8,0.7307692307692307,26,2014-04-08,MM252,,,,,,,
89.0,2014-04-08 15:23:56,2014-04-08 15:34:45,649.0,0.9,0.7224137931034482,232,2014-04-08,MM252,,,,,,,
90.0,2014-04-08 15:37:14,2014-04-08 15:37:59,45.0,0.8,0.73,20,2014-04-08,MM252,,,,,,,
91.0,2014-04-10 02:29:11,2014-04-10 02:29:22,11.0,0.7,0.6999999999999998,12,2014-04-10,MM252,,,,,,,
92.0,2014-04-10 02:50:41,2014-04-10 02:50:54,13.0,0.7,0.7,14,2014-04-10,MM252,,,,,,,
93.0,2014-04-10 03:43:09,2014-04-10 03:46:30,201.0,0.8,0.732,50,2014-04-10,MM252,,,,,,,
94.0,2014-04-10 03:49:25,2014-04-10 03:52:54,209.0,0.9,0.7885714285714286,70,2014-04-10,MM252,,,,,,,
95.0,2014-04-10 07:15:58,2014-04-10 07:17:49,111.0,2.3,2.097727272727273,88,2014-04-10,MM252,,,,,,,
96.0,2014-04-10 07:43:34,2014-04-10 07:45:57,143.0,1.0,0.7769230769230769,78,2014-04-10,MM252,,,,,,,
97.0,2014-04-12 01:23:34,2014-04-12 01:23:49,15.0,0.8,0.7625,16,2014-04-12,MM252,,,,,,,
98.0,2014-04-12 01:26:31,2014-04-12 01:26:42,11.0,0.7,0.6999999999999998,12,2014-04-12,MM252,,,,,,,
99.0,2014-04-12 13:32:38,2014-04-12 13:33:05,27.0,0.7,0.7,10,2014-04-12,MM252,,,,,,,
100.0,2014-04-12 15:19:38,2014-04-12 15:30:27,649.0,1.0,0.7614678899082569,218,2014-04-12,MM252,,,,,,,
101.0,2014-04-14 01:08:29,2014-04-14 01:10:24,115.0,0.7,0.7,10,2014-04-14,MM252,,,,,,,
102.0,2014-04-14 01:13:27,2014-04-14 01:13:56,29.0,0.7,0.6999999999999998,6,2014-04-14,MM252,,,,,,,
103.0,2014-04-14 01:18:46,2014-04-14 01:18:55,9.0,0.8,0.74,10,2014-04-14,MM252,,,,,,,
104.0,2014-04-14 01:34:51,2014-04-14 01:46:51,720.0,1.1,0.7515384615384616,260,2014-04-14,MM252,,,,,,,
105.0,2014-04-14 02:16:50,2014-04-14 02:17:35,45.0,0.7,0.7,8,2014-04-14,MM252,,,,,,,
106.0,2014-04-14 03:23:40,2014-04-14 03:23:43,3.0,0.7,0.7,4,2014-04-14,MM252,,,,,,,
107.0,2014-04-14 07:28:40,2014-04-14 07:28:45,5.0,0.7,0.6999999999999998,6,2014-04-14,MM252,,,,,,,
108.0,2014-04-14 08:11:51,2014-04-14 08:11:58,7.0,0.7,0.7,8,2014-04-14,MM252,,,,,,,
109.0,2014-04-14 08:22:33,2014-04-14 08:22:44,11.0,0.7,0.6999999999999998,12,2014-04-14,MM252,,,,,,,
110.0,2014-04-14 08:44:05,2014-04-14 08:50:56,411.0,0.8,0.7243243243243244,74,2014-04-14,MM252,,,,,,,
111.0,2014-04-14 08:54:21,2014-04-14 08:54:36,15.0,0.8,0.7375,16,2014-04-14,MM252,,,,,,,
112.0,2014-04-14 08:57:23,2014-04-14 09:01:08,225.0,0.9,0.7559999999999999,50,2014-04-14,MM252,,,,,,,
113.0,2014-04-14 09:14:09,2014-04-14 09:14:18,9.0,0.7,0.7,8,2014-04-14,MM252,,,,,,,
114.0,2014-04-14 09:25:13,2014-04-14 09:32:34,441.0,0.9,0.7451612903225806,186,2014-04-14,MM252,,,,,,,
115.0,2014-04-14 09:43:21,2014-04-14 09:50:58,457.0,0.9,0.7629629629629631,108,2014-04-14,MM252,,,,,,,
116.0,2014-04-14 09:58:37,2014-04-14 10:01:30,173.0,0.7,0.7,26,2014-04-14,MM252,,,,,,,
117.0,2014-04-14 10:20:19,2014-04-14 10:21:07,48.0,0.7,0.7,19,2014-04-14,MM252,,,,,,,
118.0,2014-04-14 10:23:58,2014-04-14 10:24:01,3.0,0.7,0.7,4,2014-04-14,MM252,,,,,,,
119.0,2014-04-14 10:38:58,2014-04-14 10:39:41,43.0,0.7,0.7,8,2014-04-14,MM252,,,,,,,
120.0,2014-04-14 11:18:42,2014-04-14 11:18:47,5.0,0.7,0.6999999999999998,6,2014-04-14,MM252,,,,,,,
121.0,2014-04-14 11:41:18,2014-04-14 11:41:27,9.0,0.7,0.7,10,2014-04-14,MM252,,,,,,,
122.0,2014-04-16 11:12:56,2014-04-16 11:13:29,33.0,2.2,2.01764705882353,34,2014-04-16,MM252,,,,,,,
123.0,2014-04-17 13:32:53,2014-04-17 13:34:34,101.0,0.8,0.74,10,2014-04-17,MM252,,,,,,,
124.0,2014-04-17 13:42:45,2014-04-17 13:48:38,353.0,1.0,0.7741379310344827,116,2014-04-17,MM252,,,,,,,
125.0,2014-04-17 13:53:11,2014-04-17 13:54:04,53.0,0.8,0.75,28,2014-04-17,MM252,,,,,,,
126.0,2014-04-17 14:11:35,2014-04-17 14:11:42,7.0,0.8,0.75,8,2014-04-17,MM252,,,,,,,
127.0,2014-04-17 15:44:49,2014-04-17 15:45:10,21.0,0.7,0.7,10,2014-04-17,MM252,,,,,,,
128.0,2014-04-17 16:41:59,2014-04-17 16:42:06,7.0,0.7,0.7,8,2014-04-17,MM252,,,,,,,
129.0,2014-04-17 17:00:55,2014-04-17 17:01:02,7.0,0.7,0.7,8,2014-04-17,MM252,,,,,,,
130.0,2014-04-17 17:33:29,2014-04-17 17:40:30,421.0,0.9,0.7307692307692307,78,2014-04-17,MM252,,,,,,,
131.0,2014-04-17 17:42:57,2014-04-17 17:44:22,85.0,0.7,0.7,20,2014-04-17,MM252,,,,,,,
132.0,2014-04-17 17:48:53,2014-04-17 17:49:02,9.0,0.7,0.7,10,2014-04-17,MM252,,,,,,,
133.0,2014-04-17 18:08:51,2014-04-17 18:09:42,51.0,0.9,0.775,16,2014-04-17,MM252,,,,,,,
134.0,2014-04-17 18:49:19,2014-04-17 18:49:42,23.0,1.0,0.8666666666666667,24,2014-04-17,MM252,,,,,,,
135.0,2014-04-17 18:56:14,2014-04-17 18:56:56,42.0,0.8,0.7529411764705882,17,2014-04-17,MM252,,,,,,,
136.0,2014-04-17 22:16:34,2014-04-17 22:21:11,277.0,0.8,0.7111111111111111,54,2014-04-17,MM252,,,,,,,
137.0,2014-04-18 00:13:32,2014-04-18 00:17:11,219.0,0.8,0.7214285714285714,28,2014-04-18,MM252,,,,,,,
138.0,2014-04-18 00:35:14,2014-04-18 00:35:39,25.0,0.8,0.7181818181818181,22,2014-04-18,MM252,,,,,,,
139.0,2014-04-18 00:44:56,2014-04-18 00:45:01,5.0,0.7,0.6999999999999998,6,2014-04-18,MM252,,,,,,,
140.0,2014-04-18 01:05:06,2014-04-18 01:05:07,1.0,0.7,0.7,2,2014-04-18,MM252,,,,,,,
141.0,2014-04-18 02:52:46,2014-04-18 02:52:51,5.0,0.7,0.6999999999999998,6,2014-04-18,MM252,,,,,,,
142.0,2014-04-18 02:54:54,2014-04-18 02:54:59,5.0,0.8,0.7666666666666666,6,2014-04-18,MM252,,,,,,,
143.0,2014-04-18 03:18:26,2014-04-18 03:18:31,5.0,0.7,0.6999999999999998,6,2014-04-18,MM252,,,,,,,
144.0,2014-04-18 05:28:45,2014-04-18 05:28:48,3.0,0.7,0.7,4,2014-04-18,MM252,,,,,,,
145.0,2014-04-18 07:53:57,2014-04-18 07:54:06,9.0,0.8,0.76,10,2014-04-18,MM252,,,,,,,
146.0,2014-04-18 07:58:42,2014-04-18 07:58:45,3.0,0.7,0.7,4,2014-04-18,MM252,,,,,,,
147.0,2014-04-18 11:21:54,2014-04-18 11:24:59,185.0,1.0,0.775,64,2014-04-18,MM252,,,,,,,
148.0,2014-04-18 12:49:05,2014-04-18 12:49:16,11.0,0.7,0.6999999999999998,12,2014-04-18,MM252,,,,,,,
149.0,2014-04-18 12:52:13,2014-04-18 12:56:26,253.0,0.8,0.7157894736842105,38,2014-04-18,MM252,,,,,,,
150.0,2014-04-18 12:59:35,2014-04-18 12:59:40,5.0,0.7,0.6999999999999998,6,2014-04-18,MM252,,,,,,,
151.0,2014-04-18 13:02:13,2014-04-18 13:02:32,19.0,0.8,0.76,20,2014-04-18,MM252,,,,,,,
152.0,2014-04-18 13:25:43,2014-04-18 13:25:56,13.0,0.8,0.7285714285714285,14,2014-04-18,MM252,,,,,,,
153.0,2014-04-18 13:31:57,2014-04-18 13:35:30,213.0,1.0,0.7645161290322581,62,2014-04-18,MM252,,,,,,,
154.0,2014-04-19 12:23:24,2014-04-19 12:23:27,3.0,0.7,0.7,4,2014-04-19,MM252,,,,,,,
155.0,2014-04-19 13:22:28,2014-04-19 13:22:33,5.0,0.7,0.6999999999999998,6,2014-04-19,MM252,,,,,,,
156.0,2014-04-19 14:09:18,2014-04-19 14:09:25,7.0,0.7,0.7,8,2014-04-19,MM252,,,,,,,
157.0,2014-04-24 09:49:10,2014-04-24 09:50:49,99.0,2.2,2.075510204081633,98,2014-04-24,MM252,,,,,,,
158.0,2014-04-24 12:16:14,2014-04-24 12:16:17,3.0,0.7,0.7,4,2014-04-24,MM252,,,,,,,
159.0,2014-04-24 12:58:20,2014-04-24 12:58:25,5.0,0.7,0.6999999999999998,6,2014-04-24,MM252,,,,,,,
160.0,2014-04-24 16:04:01,2014-04-24 16:04:04,3.0,0.7,0.7,4,2014-04-24,MM252,,,,,,,
161.0,2014-04-26 14:00:53,2014-04-26 14:00:58,5.0,0.8,0.7666666666666666,6,2014-04-26,MM252,,,,,,,
162.0,2014-04-28 03:15:09,2014-04-28 03:15:14,5.0,0.7,0.6999999999999998,6,2014-04-28,MM252,,,,,,,
163.0,2014-04-28 03:30:01,2014-04-28 03:30:14,13.0,1.1,0.9285714285714286,14,2014-04-28,MM252,,,,,,,
164.0,2014-04-28 03:32:59,2014-04-28 03:33:12,13.0,0.8,0.7857142857142857,14,2014-04-28,MM252,,,,,,,
165.0,2014-04-28 09:15:27,2014-04-28 09:16:38,71.0,30.0,9.743333333333334,60,2014-04-28,MM252,,,,,,,
166.0,2014-04-29 15:03:42,2014-04-29 15:03:53,11.0,0.7,0.6999999999999998,12,2014-04-29,MM252,,,,,,,
167.0,2014-04-29 16:00:12,2014-04-29 16:00:13,1.0,0.7,0.7,2,2014-04-29,MM252,,,,,,,
168.0,2014-04-29 16:02:36,2014-04-29 16:02:41,5.0,0.7,0.6999999999999998,6,2014-04-29,MM252,,,,,,,
169.0,2014-04-29 16:12:40,2014-04-29 16:13:11,31.0,0.8,0.7384615384615384,26,2014-04-29,MM252,,,,,,,
170.0,2014-04-29 16:15:42,2014-04-29 16:16:41,59.0,0.8,0.72,20,2014-04-29,MM252,,,,,,,
171.0,2014-04-30 16:17:08,2014-04-30 16:17:09,1.0,0.7,0.7,2,2014-04-30,MM252,,,,,,,
172.0,2014-05-01 13:30:09,2014-05-01 13:30:10,1.0,0.7,0.7,2,2014-05-01,MM252,,,,,,,
173.0,2014-05-01 13:51:41,2014-05-01 13:51:44,3.0,0.7,0.7,4,2014-05-01,MM252,,,,,,,
174.0,2014-05-01 13:55:13,2014-05-01 13:55:18,5.0,0.7,0.6999999999999998,6,2014-05-01,MM252,,,,,,,
175.0,2014-05-01 14:00:11,2014-05-01 14:00:28,17.0,0.7,0.7,18,2014-05-01,MM252,,,,,,,
176.0,2014-05-01 15:00:13,2014-05-01 15:00:18,5.0,0.7,0.6999999999999998,6,2014-05-01,MM252,,,,,,,
177.0,2014-05-01 15:04:29,2014-05-01 15:04:42,13.0,0.7,0.7,14,2014-05-01,MM252,,,,,,,
178.0,2014-05-04 12:05:24,2014-05-04 12:05:27,3.0,0.7,0.7,4,2014-05-04,MM252,,,,,,,
179.0,2014-05-04 12:13:32,2014-05-04 12:13:37,5.0,0.7,0.6999999999999998,6,2014-05-04,MM252,,,,,,,
180.0,2014-05-04 13:24:22,2014-05-04 13:26:37,135.0,0.8,0.7142857142857143,28,2014-05-04,MM252,,,,,,,
181.0,2014-05-04 13:38:56,2014-05-04 13:40:05,69.0,0.7,0.7,14,2014-05-04,MM252,,,,,,,
182.0,2014-05-04 14:24:48,2014-05-04 14:24:51,3.0,0.7,0.7,4,2014-05-04,MM252,,,,,,,
183.0,2014-05-04 15:03:36,2014-05-04 15:03:41,5.0,0.7,0.6999999999999998,6,2014-05-04,MM252,,,,,,,
184.0,2014-05-06 12:07:21,2014-05-06 12:10:08,167.0,0.9,0.76,50,2014-05-06,MM252,,,,,,,
185.0,2014-05-06 12:14:05,2014-05-06 12:20:18,373.0,0.9,0.7435897435897436,78,2014-05-06,MM252,,,,,,,
186.0,2014-05-06 13:02:27,2014-05-06 13:02:42,15.0,0.7,0.7,10,2014-05-06,MM252,,,,,,,
187.0,2014-05-06 14:01:09,2014-05-06 14:01:18,9.0,0.7,0.7,10,2014-05-06,MM252,,,,,,,
188.0,2014-05-06 14:48:36,2014-05-06 14:48:59,23.0,0.7,0.7,16,2014-05-06,MM252,,,,,,,
189.0,2014-05-06 14:52:02,2014-05-06 14:53:33,91.0,0.8,0.7181818181818181,22,2014-05-06,MM252,,,,,,,
190.0,2014-05-06 16:42:34,2014-05-06 16:51:09,515.0,0.9,0.7218749999999999,64,2014-05-06,MM252,,,,,,,
191.0,2014-05-06 16:53:40,2014-05-06 16:57:31,231.0,0.9,0.7862745098039216,102,2014-05-06,MM252,,,,,,,
192.0,2014-05-07 09:38:00,2014-05-07 09:39:43,103.0,2.3,2.0974358974358975,78,2014-05-07,MM252,,,,,,,
193.0,2014-05-07 10:23:12,2014-05-07 10:25:21,129.0,0.8,0.717391304347826,46,2014-05-07,MM252,,,,,,,
194.0,2014-05-10 13:31:07,2014-05-10 13:31:16,9.0,0.7,0.7,10,2014-05-10,MM252,,,,,,,
195.0,2014-05-10 13:56:49,2014-05-10 13:57:00,11.0,0.9,0.7833333333333333,12,2014-05-10,MM252,,,,,,,
196.0,2014-05-10 14:12:53,2014-05-10 14:13:04,11.0,0.8,0.7666666666666666,12,2014-05-10,MM252,,,,,,,
197.0,2014-05-10 14:20:05,2014-05-10 14:20:06,1.0,0.7,0.7,2,2014-05-10,MM252,,,,,,,
198.0,2014-05-10 14:26:30,2014-05-10 14:26:41,11.0,0.9,0.7999999999999999,12,2014-05-10,MM252,,,,,,,
199.0,2014-05-10 14:31:44,2014-05-10 14:31:47,3.0,0.7,0.7,4,2014-05-10,MM252,,,,,,,
200.0,2014-05-10 14:35:16,2014-05-10 14:35:23,7.0,0.9,0.8500000000000001,8,2014-05-10,MM252,,,,,,,
201.0,2014-05-10 15:26:08,2014-05-10 15:26:27,19.0,0.8,0.74,20,2014-05-10,MM252,,,,,,,
202.0,2014-05-10 15:45:46,2014-05-10 15:46:37,51.0,0.7,0.6999999999999998,12,2014-05-10,MM252,,,,,,,
203.0,2014-05-10 23:32:02,2014-05-10 23:32:07,5.0,0.7,0.6999999999999998,6,2014-05-10,MM252,,,,,,,
204.0,2014-05-10 23:39:59,2014-05-10 23:40:00,1.0,0.7,0.7,2,2014-05-10,MM252,,,,,,,
205.0,2014-05-11 00:42:05,2014-05-11 00:43:26,81.0,0.7,0.6999999999999998,6,2014-05-11,MM252,,,,,,,
206.0,2014-05-11 03:16:19,2014-05-11 03:42:26,1567.0,1.9,0.8184750733137831,682,2014-05-11,MM252,,,,,,,
207.0,2014-05-11 11:36:58,2014-05-11 11:37:01,3.0,0.7,0.7,4,2014-05-11,MM252,,,,,,,
208.0,2014-05-11 11:57:26,2014-05-11 12:04:47,441.0,0.9,0.7285714285714285,140,2014-05-11,MM252,,,,,,,
209.0,2014-05-12 01:34:46,2014-05-12 01:38:13,207.0,1.0,0.8,60,2014-05-12,MM252,,,,,,,
210.0,2014-05-12 01:41:18,2014-05-12 01:42:33,75.0,0.7,0.7,16,2014-05-12,MM252,,,,,,,
211.0,2014-05-12 09:06:40,2014-05-12 09:07:15,35.0,2.2,2.0722222222222224,36,2014-05-12,MM252,,,,,,,
212.0,2014-05-15 12:48:25,2014-05-15 12:52:58,273.0,0.7,0.7,40,2014-05-15,MM252,,,,,,,
213.0,2014-05-15 12:55:27,2014-05-15 13:01:30,363.0,1.1,0.8294117647058824,170,2014-05-15,MM252,,,,,,,
